Community,CommunityName,HHmedianIncome ,HHtotal,PropWhite,PropBlack,PropLatino,PropAsian,HousingCrowded,HHbelowPovertry,Unemployment,NoHighSchool,PerCapitaIncome,PropVacant
1,Rogers Park,39482,23084,0.5,0.28,0.17,0.05,7.7,23.6,8.7,18.2,23939,0
2,West Ridge,47323,23852,0.54,0.11,0.16,0.19,7.8,17.2,8.8,20.8,23040,0
3,Uptown,40324,29137,0.59,0.18,0.11,0.12,3.8,24,8.9,11.8,35787,0
4,Lincoln Square,57749,17406,0.73,0.04,0.12,0.1,3.4,10.9,8.2,13.4,37524,0
5,North Center,81524,14474,0.83,0.03,0.09,0.05,0.3,7.5,5.2,4.5,57123,0
6,Lake View,70746,53724,0.82,0.04,0.07,0.07,1.1,11.4,4.7,2.6,60058,0
7,Lincoln Park,82707,32053,0.86,0.05,0.04,0.06,0.8,12.3,5.1,3.6,71551,0
8,Near North Side,76290,47570,0.76,0.1,0.04,0.1,1.9,12.9,7,2.5,88669,0
9,Edison Park,77678,4620,0.95,0,0.04,0.02,1.1,3.3,6.5,7.4,40959,0
10,Norwood Park,64477,14916,0.86,0,0.1,0.04,2,5.4,9,11.5,32875,0
11,Jefferson Park,60592,9989,0.8,0.01,0.15,0.05,2.7,8.6,12.4,13.4,27751,0
12,Forest Glen,87394,6748,0.78,0.01,0.11,0.1,1.1,7.5,6.8,4.9,44164,0
13,North Park,53305,6362,0.58,0.02,0.14,0.25,3.9,13.2,9.9,14.4,26576,0
14,Albany Park,46198,16274,0.42,0.04,0.41,0.13,11.3,19.2,10,32.9,21323,0
15,Portage Park,52356,22452,0.67,0.02,0.27,0.04,4.1,11.6,12.6,19.3,24336,0
16,Irving Park,54048,19863,0.56,0.03,0.33,0.07,6.3,13.1,10,22.4,27249,0
17,Dunning,61584,15325,0.8,0.01,0.16,0.04,5.2,10.6,10,16.2,26282,0
18,Montclaire,47460,4404,0.54,0.06,0.37,0.02,8.1,15.3,13.8,23.5,22014,0
19,Belmont Cragin,42842,21871,0.26,0.06,0.65,0.02,10.8,18.7,14.6,37.3,15461,0
20,Hermosa,42418,6896,0.14,0.02,0.81,0.03,6.9,20.5,13.1,41.6,15089,0
21,Avondale,46519,13530,0.41,0.04,0.51,0.04,6,15.3,9.2,24.7,20039,0
22,Logan Square,49610,29994,0.51,0.08,0.38,0.04,3.2,16.8,8.2,14.8,31908,0
23,Humboldt park,29605,17060,0.06,0.45,0.48,0.01,14.8,33.9,17.3,35.4,13781,0.03
24,West Town,60720,36535,0.65,0.09,0.22,0.04,2.3,14.7,6.6,12.9,43198,0
25,Austin,32358,33315,0.06,0.87,0.06,0.01,6.3,28.6,22.6,24.4,15957,0.01
26,West Garfield Park,23033,6051,0.01,0.99,0,0,9.4,41.7,25.8,24.5,10934,0.07
27,East Garfield Park,24488,6639,0.04,0.92,0.02,0.01,8.2,42.4,19.6,21.3,12961,0.09
28,Near West Side,62770,23289,0.48,0.3,0.07,0.15,3.8,20.6,10.7,9.6,44689,0.01
29,North Lawndale,25797,11098,0.02,0.93,0.05,0,7.4,43.1,21.2,27.6,12034,0.1
30,South Lawndale,33593,15777,0.04,0.05,0.91,0,15.2,30.7,15.8,54.8,10402,0
31,Lower West Side,34573,11682,0.22,0.05,0.73,0.01,9.6,25.8,15.8,40.7,16444,0
32,Loop,78124,11291,0.7,0.11,0.03,0.17,1.5,14.7,5.7,3.1,65526,0
33,Near South Side,75995,10020,0.45,0.37,0.05,0.13,1.3,13.8,4.9,7.4,59077,0
34,Armour Square,27619,5032,0.15,0.15,0.03,0.66,5.7,40.1,16.7,34.5,16148,0
35,Douglas,32805,9049,0.06,0.85,0.02,0.07,1.8,29.6,18.2,14.3,23791,0.01
36,Oakland,20800,2460,0.04,0.93,0.03,0,1.3,39.7,28.7,18.4,19252,0.05
37,Fuller Park,15086,1095,0.02,0.95,0.02,0.01,3.2,51.2,33.9,26.6,10432,0.24
38,Grand Boulevard,28040,9400,0.02,0.96,0.01,0,3.3,29.3,24.3,15.9,23472,0.07
39,Kenwood,39371,9191,0.16,0.76,0.02,0.06,2.4,21.7,15.7,11.3,35911,0.01
40,Washington Park,21899,3886,0,0.98,0.01,0,5.6,42.1,28.6,25.4,13785,0.13
41,Hyde Park,45335,12446,0.45,0.41,0.04,0.1,1.5,18.4,8.4,4.3,39056,0
42,Woodlawn,27413,10097,0.05,0.91,0.03,0.02,2.9,30.7,23.4,16.5,18672,0.04
43,South Shore,27903,22220,0.01,0.97,0.01,0,2.8,31.1,20,14,19398,0.01
44,Chatham,32057,14833,0,0.99,0,0.01,3.3,27.8,24,14.5,18881,0.01
45,Avalon Park,46903,4044,0.01,0.99,0,0,1.4,17.2,21.1,10.6,24454,0.01
46,South Chicago,31164,11670,0.04,0.77,0.19,0,4.7,29.8,19.7,26.6,16579,0.05
47,Burnside,32553,1148,0.04,0.96,0,0,6.8,33,18.6,19.3,12515,0.03
48,Calumet Heights,55669,5856,0.01,0.96,0.03,0,2.1,11.5,20,11,28887,0
49,Roseland,40142,16030,0.01,0.99,0,0,2.5,19.8,20.3,16.9,17949,0.03
50,Pullman,40059,3181,0.11,0.82,0.06,0,1.5,21.6,22.8,13.1,20588,0.01
51,South Deering,38594,5372,0.09,0.65,0.27,0,4,29.2,16.3,21,14685,0.07
52,East Side,41196,7188,0.26,0.03,0.7,0,6.8,19.2,12.1,31.9,17104,0.01
53,West Pullman,39601,9992,0.01,0.96,0.03,0,3.3,25.9,19.4,20.5,16563,0.05
54,Riverdale,13380,2039,0,0.98,0.01,0.01,5.8,56.5,34.6,27.5,8201,0.09
55,Hegewisch,49924,3791,0.57,0.06,0.38,0,3.3,17.1,9.6,19.2,22677,0.02
56,Garfield Ridge,61206,12120,0.64,0.07,0.28,0.02,2.6,8.8,11.3,19.3,26353,0
57,Archer Heights,42571,3623,0.34,0.01,0.65,0,8.5,14.1,16.5,35.9,16134,0
58,Brighton Park,39289,11635,0.17,0.01,0.76,0.05,14.4,23.6,13.9,45.1,13089,0
59,McKinley Park,42327,5024,0.31,0.01,0.51,0.16,7.2,18.7,13.4,32.9,16954,0
60,Bridgeport,42382,11894,0.47,0.02,0.22,0.29,4.5,18.9,13.7,22.2,22694,0
61,New City,32222,12101,0.19,0.32,0.48,0.02,11.9,29,23,41.5,12765,0.09
62,West Elsdon,51003,4897,0.35,0.03,0.6,0.02,11.1,15.6,16.7,37,15754,0
63,Gage Park,38855,9140,0.12,0.08,0.8,0.01,15.8,23.4,18.2,51.5,12171,0
64,Clearing,54123,8559,0.66,0.01,0.32,0.01,2.7,8.9,9.5,18.8,25113,0
65,West Lawn,46891,8977,0.31,0.06,0.63,0,5.8,14.9,9.6,33.6,16907,0
66,Chicago Lawn,37779,15631,0.07,0.62,0.31,0.01,7.6,27.9,17.1,31.2,13231,0
67,West Englewood,26654,10561,0,0.98,0.01,0,4.8,34.4,35.9,26.3,11317,0.1
68,Englewood,19743,11113,0.01,0.99,0.01,0,3.8,46.6,28,28.5,11888,0.15
69,Greater Grand Crossing,29663,13508,0,0.98,0.01,0,3.6,29.6,23,16.5,17285,0.03
70,Ashburn,62238,12958,0.23,0.54,0.23,0.01,4,10.4,11.7,17.7,23482,0
71,Auburn Gresham,34767,17600,0,0.99,0,0,4,27.6,28.3,18.5,15528,0.01
72,Beverly,83092,7995,0.61,0.36,0.03,0,0.9,5.1,8,3.7,39523,0
73,Washington Height,42053,9705,0,0.99,0.01,0,1.1,16.9,20.8,13.7,19713,0.01
74,Mount Greenwood,80505,6714,0.89,0.06,0.04,0,1,3.4,8.7,4.3,34381,0
75,Morgan Park,56886,7872,0.31,0.67,0.02,0.01,0.8,13.2,15,10.8,27149,0.02
76,O'Hare,49601,5965,0.81,0.02,0.09,0.08,3.6,15.4,7.1,10.9,25828,0
77,Edgewater,43331,29031,0.62,0.16,0.11,0.11,4.1,18.2,9.2,9.7,33385,0
